index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-dblclockfft_butterfly_ck1-p354.smt2,,,9,10,10,84,29,66,162,,129,110,39,118,,,938.37,263.98,unsat,31.69,0.11,0.00,0.03,0.01,0.05,25.96,10.96,,0.01,0.02,0.01,0.43,27.25,2.65,24.57,0.70,19.31,
array-dblclockfft_butterfly_ck1-p359.smt2,,,5,6,6,39,11,28,66,,55,44,23,48,,,938.37,47.00,unsat,3.28,0.03,0.00,0.01,0.00,0.01,2.14,1.56,,0.00,0.01,0.01,0.09,2.46,0.47,1.97,0.16,0.90,
array-dblclockfft_butterfly_ck1-p372.smt2,,,12,13,13,205,64,164,378,7,324,299,71,310,,,940.11,206.47,unsat,94.08,0.41,0.01,0.12,0.02,0.18,82.48,68.92,,0.10,0.02,0.02,1.45,87.16,11.58,75.54,2.43,53.51,
array-dblclockfft_butterfly_ck1-p375.smt2,,,11,13,13,163,111,115,949,13,333,307,454,319,,,940.11,390.92,unsat,100.62,1.17,0.04,0.63,0.04,0.34,72.41,47.93,,0.26,0.02,0.01,1.52,78.87,19.00,59.84,2.50,28.93,
array-dblclockfft_butterfly_ck1-p386.smt2,,,,8,8,52,45,72,211,,166,151,71,157,,,936.20,107.07,unsat,15.81,1.40,0.10,1.01,0.06,0.21,11.52,7.91,,0.01,0.01,0.01,0.70,14.49,2.69,11.78,1.04,2.29,
array-dblclockfft_butterfly_ck1-p420.smt2,,,8,9,9,42,28,10,106,,81,64,4,71,,,940.10,48.19,unsat,4.39,0.06,0.00,0.02,0.00,0.02,3.26,2.56,,0.01,0.00,,0.09,3.68,0.93,2.73,0.17,1.19,
array-dblclockfft_butterfly_ck1-p422.smt2,,,1,4,4,6,6,7,19,,17,10,5,12,,,938.37,23.04,unsat,0.94,0.00,,,,0.00,0.28,0.22,,,0.00,,0.01,0.33,0.06,0.26,0.01,0.13,
array-dblclockfft_butterfly_ck1-p428.smt2,,,5,7,7,35,13,26,127,,61,47,75,53,,,940.10,57.58,unsat,5.85,0.08,0.00,0.03,0.01,0.03,4.54,3.52,,0.00,0.01,0.01,0.11,4.97,0.84,4.11,0.18,2.57,
array-dblclockfft_butterfly_ck1-p432.smt2,,,3,4,4,10,4,6,12,,16,8,,11,,,940.10,58.65,unsat,2.58,0.01,,0.00,,0.00,1.78,0.23,,,0.01,0.01,0.01,1.83,0.06,1.76,0.01,1.42,
array-dblclockfft_butterfly_ck1-p434.smt2,,,5,6,6,33,11,21,49,,48,37,7,41,,,940.10,87.96,unsat,6.65,0.03,0.00,0.01,0.00,0.01,3.63,1.88,,0.00,0.01,0.01,0.08,3.93,0.39,3.53,0.14,2.30,
array-dblclockfft_butterfly_ck1-p436.smt2,,,7,8,8,52,22,40,82,,80,65,14,71,,,940.10,109.29,unsat,9.64,0.12,0.01,0.06,0.01,0.04,7.31,3.88,,0.01,0.01,0.01,0.19,8.00,1.12,6.86,0.33,3.93,
array-dblclockfft_butterfly_ck1-p454.smt2,,,,6,6,7,13,8,29,,29,18,5,22,,,936.20,23.41,unsat,1.06,0.01,,0.00,,0.00,0.31,0.20,,,0.00,,0.02,0.40,0.10,0.29,0.03,0.01,
array-dblclockfft_butterfly_ck1-p455.smt2,,,4,8,8,32,41,14,151,,74,59,35,65,,,936.20,113.35,unsat,8.91,0.06,0.00,0.03,0.00,0.02,7.79,2.75,,0.01,0.00,,0.11,8.23,1.16,7.05,0.18,5.66,
array-dblclockfft_butterfly_ck2_r0-p043.smt2,,,1,5,5,40,8,61,79,5,88,74,30,82,,,421.13,57.78,unsat,5.69,0.46,0.03,0.33,0.02,0.07,4.25,3.29,,0.00,0.01,0.01,0.14,5.14,0.67,4.46,0.24,2.06,
array-dblclockfft_butterfly_ck2_r0-p048.smt2,,,,2,2,3,,3,3,,6,3,1,3,,,421.13,17.92,unsat,0.36,0.00,,,,,0.06,0.02,,,0.01,0.01,,0.07,0.03,0.04,0.00,0.01,
array-dblclockfft_butterfly_ck2_r0-p061.smt2,,,4,4,4,29,5,17,35,2,38,31,9,33,,,423.53,33.54,unsat,2.13,0.02,0.00,0.01,0.00,0.01,1.65,1.40,,,0.01,0.01,0.02,1.80,0.28,1.51,0.05,1.02,
array-dblclockfft_butterfly_ck2_r0-p064.smt2,,,6,7,7,72,18,47,275,1,117,100,138,109,,,423.53,219.21,unsat,59.44,3.57,0.22,2.76,0.11,0.44,21.20,13.72,,0.03,0.01,0.01,0.29,25.70,3.48,22.20,0.46,12.50,
array-dblclockfft_butterfly_ck2_r0-p075.smt2,,,5,7,7,71,15,54,171,1,109,93,79,101,,,423.53,75.90,unsat,13.24,0.25,0.01,0.12,0.01,0.07,11.71,9.75,,0.01,0.01,0.01,0.17,12.62,1.83,10.77,0.32,7.70,
array-dblclockfft_butterfly_ck2_r0-p095.smt2,,,,10,9,155,24,95,629,,194,195,468,202,,,510.44,482.76,timeout,899.97,1.10,0.05,0.64,0.04,0.27,83.22,73.69,,0.04,0.02,0.01,0.85,87.14,8.58,78.53,1.56,58.23,
array-dblclockfft_butterfly_ck2_r0-p096.smt2,,,,11,10,90,36,48,342,2,144,128,159,134,,,508.09,479.26,timeout,899.97,0.32,0.01,0.16,0.01,0.10,46.58,42.11,,0.04,0.02,0.01,0.50,48.63,9.97,38.63,0.88,27.17,
