index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-marlann_compute_fail2-p2.smt2,,,,13,12,57,9,22,415,41,132,105,192,120,,,,,,,0.17,0.01,0.06,0.01,0.08,15.80,0.81,13.71,,0.11,0.11,0.27,16.97,3.86,13.08,0.39,8.85,
array-picorv32-check-p01.smt2,,,9,11,11,323,172,157,1407,15,453,432,640,441,,,114.33,102.68,timeout,42.66,0.79,0.04,0.32,0.04,0.34,38.10,33.92,,0.19,0.12,0.12,0.85,42.03,7.58,34.43,1.53,26.68,
array-picorv32-check-p06.smt2,,,11,15,15,309,218,354,2008,90,559,550,1059,559,,,328.90,306.13,timeout,83.58,1.26,0.07,0.55,0.07,0.50,76.66,68.72,,0.25,0.13,0.13,1.34,82.52,12.65,69.82,2.30,57.06,
array-picorv32-check-p08.smt2,,,17,17,17,667,698,441,6191,51,1114,1091,3004,1106,,,328.26,295.90,timeout,229.16,2.60,0.16,1.16,0.14,1.00,211.01,185.10,0.18,2.11,0.12,0.12,3.23,227.28,55.72,171.50,5.54,137.62,
array-picorv32-check-p09.smt2,,,4,6,6,31,7,22,94,6,50,39,48,43,,,24.97,21.10,timeout,1.58,0.04,0.00,0.01,0.00,0.02,1.16,1.04,,0.00,0.12,0.12,0.05,1.39,0.25,1.12,0.10,0.70,
array-picorv32-check-p10.smt2,,,7,8,8,132,58,71,526,3,184,170,256,176,,,52.61,45.89,timeout,9.64,0.27,0.01,0.10,0.01,0.13,8.12,7.29,,0.03,0.11,0.11,0.26,9.33,1.51,7.80,0.48,5.72,
array-picorv32-check-p14.smt2,,,6,8,8,120,29,113,498,,217,205,254,211,,,53.38,43.32,timeout,9.04,0.18,0.01,0.04,0.01,0.11,7.41,6.57,,0.03,0.12,0.12,0.34,8.68,1.42,7.24,0.62,4.74,
array-picorv32-check-p18.smt2,,,8,9,9,180,44,153,994,12,294,284,564,289,,,65.72,57.05,timeout,16.06,0.36,0.02,0.12,0.02,0.17,13.60,12.13,,0.09,0.12,0.12,0.51,15.62,2.88,12.71,0.90,9.10,
array-picorv32_mutAX_mem-p0.smt2,,,,7,7,226,,65,598,13,242,237,302,239,,,367.92,350.15,timeout,378.57,1.67,0.04,0.28,0.04,1.19,365.82,0.56,352.87,,0.83,0.82,4.51,377.43,41.45,335.96,6.03,298.37,
array-picorv32_mutAX_mem-p7.smt2,,,,8,7,553,,70,1604,15,584,577,700,578,,,504.56,485.89,timeout,899.96,4.49,0.12,0.94,0.12,3.02,746.88,,712.32,,0.83,0.81,9.84,776.26,125.31,650.93,13.42,577.19,
array-picorv32_mutAY_mem-p5.smt2,,,,8,8,779,,131,1209,18,819,806,580,812,,,617.31,494.40,timeout,656.55,8.43,0.10,0.93,0.12,6.99,604.36,,573.33,,0.56,0.55,23.86,655.91,54.16,601.72,28.06,474.62,
array-picorv32_mutAY_mem-p6.smt2,,,,8,7,188,,14,741,,252,238,376,246,,,2677.08,2517.13,timeout,899.97,2.35,0.01,0.06,0.01,2.21,97.87,,92.05,,0.58,0.57,8.28,115.16,28.85,86.29,9.20,51.27,
