index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
bv-qspiflash_dualflexpress_divthree-p153.smt2,,,,18,17,1665,382,342,5905,82,1776,1756,2536,1765,,,486.74,468.13,timeout,899.97,16.36,1.05,10.60,0.69,3.60,699.48,579.92,,3.33,0.09,0.08,10.63,753.57,156.49,597.02,18.55,459.93,
bv-qspiflash_dualflexpress_divthree-p158.smt2,,,5,5,5,44,6,34,38,1,53,48,14,48,,,28.81,25.82,unsat,1.93,0.05,,0.01,0.00,0.03,1.43,1.23,,,0.08,0.08,0.09,1.75,0.13,1.60,0.19,0.99,
bv-qspiflash_dualflexpress_divthree-p161.smt2,,,,17,16,1709,665,327,7294,165,1869,1856,3312,1870,,,501.82,483.29,timeout,899.97,7.11,0.35,3.45,0.35,2.53,739.83,609.64,,4.53,0.08,0.08,11.55,789.19,185.22,603.92,20.25,462.81,
bv-qspiflash_dualflexpress_divthree-p164.smt2,,,,12,11,1705,226,324,5909,120,1775,1767,2498,1773,,,464.03,426.64,timeout,899.97,6.16,0.30,2.85,0.32,2.22,689.03,585.02,,5.16,0.08,0.08,10.38,736.87,202.85,533.98,19.36,411.06,
bv-qspiflash_qflexpress_divfive-p017.smt2,,,5,7,7,47,7,39,41,,61,53,7,55,,,25.11,21.12,unsat,1.67,0.06,0.00,0.01,0.00,0.04,1.22,1.06,,0.00,0.04,0.04,0.06,1.55,0.16,1.37,0.17,0.74,
bv-qspiflash_qflexpress_divfive-p029.smt2,,,,12,11,1115,65,256,2146,25,1151,1148,699,1151,,,509.05,491.34,timeout,899.97,3.23,0.15,1.35,0.16,1.30,324.32,275.73,,0.59,0.05,0.05,3.95,344.60,57.17,287.40,9.05,227.14,
bv-qspiflash_qflexpress_divfive-p036.smt2,,,18,18,18,502,327,492,6222,48,935,920,4169,926,,,315.54,291.35,unsat,241.45,2.34,0.11,0.86,0.11,1.05,222.21,168.35,,1.86,0.04,0.04,2.84,239.66,57.09,182.51,6.40,121.32,
bv-qspiflash_qflexpress_divfive-p038.smt2,,,7,11,11,182,54,307,1080,16,386,375,574,379,,,115.07,97.69,unsat,30.32,0.66,0.03,0.19,0.03,0.34,25.37,21.03,,0.18,0.04,0.04,0.82,29.54,5.09,24.41,1.96,15.79,
bv-qspiflash_qflexpress_divfive-p048.smt2,,,5,7,7,88,12,86,137,1,130,117,58,123,,,35.47,31.75,unsat,4.67,0.15,0.01,0.03,0.01,0.09,3.58,3.07,,0.01,0.05,0.04,0.20,4.49,0.41,4.05,0.49,2.37,
bv-qspiflash_qflexpress_divfive-p063.smt2,,,,20,19,958,1365,163,7168,71,1124,1105,2771,1119,,,516.13,498.28,timeout,899.61,2.25,0.09,0.80,0.11,1.02,327.02,286.33,,3.86,0.06,0.06,3.48,351.30,124.37,226.87,7.83,172.75,
